Ticker,1M Return,3M Return,6M Return,12M Return,3M Volatility,Trend Signal
AAPL,0.09588080153916612,0.0806310576063265,0.04068954938697167,0.3240518059868174,0.26524007020476353,1.0
MSFT,0.12201859360536238,-0.03463723892731363,-0.2315327583906358,0.056552082125002956,0.30000248123439255,0.0
NVDA,0.12916072232285747,0.03835470169062116,-0.04138435348377001,0.8224088590217697,0.3912561327751129,1.0
AMZN,0.27397065315470037,0.12101966713140189,0.16482851155384504,0.45461453437319044,0.33009998205338054,0.0
GOOGL,0.29691645127141686,0.1418979375562952,0.40661380466613783,1.4372000996995995,0.34644685407240255,1.0
META,0.05096424654566478,-0.14965640142367342,-0.18878211744511786,0.11229349195625393,0.4050110972535177,0.0
TSLA,0.025074745091861805,-0.09198205432272089,-0.1531711142675014,0.3851006600929565,0.3808967122809117,0.0
JPM,0.06327145205524976,0.026738784609633415,0.032652917146356764,0.3022112690879226,0.23980157399353313,0.0
XOM,-0.049944015675231324,0.08746922469255103,0.3320145304279485,0.4957719061640191,0.29787688655832234,1.0
JNJ,-0.06935111016880924,0.005050727671862543,0.231768016225548,0.4939541966227625,0.1651408479151197,1.0
VFIAX,0.10021093046476226,0.04483572644808098,0.05544139284743532,0.31381674667891457,0.15232617454593803,1.0
VTSAX,0.09901484568113728,0.04636504125856966,0.05869525292256261,0.31694743884020804,0.15588535700987077,1.0
VBTLX,-0.001033081463488017,-0.00279098109589504,0.004370713790803116,0.037873461431892075,0.04277919508458456,1.0
VIMAX,0.0690908092186131,0.04650712123308298,0.06812418207137094,0.22375047303569606,0.15285203157355867,1.0
VSMAX,0.0808776873989705,0.05939687125378379,0.12263560131187767,0.33531262239898196,0.1897296658334757,1.0
VGSLX,0.07918508199421814,0.06919003102759413,0.10698241012594334,0.12942589087421053,0.14701060522580367,1.0
VTIAX,0.06112696975413323,0.03781602925635008,0.12340050842747186,0.33367681704735497,0.20360202517265216,1.0
GLD,-0.033438432240480376,-0.048926888266092705,0.16578510379003109,0.3930934851392942,0.343800818562671,1.0
SLV,0.0022013725744425283,-0.09477732362790237,0.5796900679771471,1.307094595791912,0.7163478063172862,1.0
USO,0.1507777199293392,0.7957747620731193,0.9888578966886516,1.246696034713504,0.669649566627003,1.0
TLT,-0.0038705954676899745,-0.0027842939162155966,-0.03553341028272239,0.003969325499185272,0.09969882939170288,1.0
BND,0.002483521815551226,0.0012536181184941153,0.004359755049848424,0.041294216691433405,0.04238943853816811,1.0
BTC-USD,0.07125268618411229,0.18665555143148183,-0.1044934741636444,-0.3310835385544125,0.3622049569553058,0.0
ETH-USD,0.022245773194351726,0.18869852380389696,-0.21555252592363028,-0.5249579518205987,0.4765693670660882,0.0
